id,title,author,genre,language,publicationYear,publisher,pageCount,tags,rating_average,most_popular_country,bestseller_status,awards,age_category,adapted_to_movie,movie_release_year
375,Bleak House,Charles Dickens,Satire,English,1853,Bradbury & Evans,1017,"classic,law,mystery",4.0,UK,True,None,Adult,True,2005
376,A Christmas Carol,Charles Dickens,Fantasy,English,1843,Chapman & Hall,104,"christmas,classic,redemption",4.06,UK,True,None,Children,True,1951
377,Vanity Fair,William Makepeace Thackeray,Satire,English,1848,Punch,867,"classic,satire,society",3.78,UK,True,None,Adult,True,2004
378,The Woman in White,Wilkie Collins,Mystery,English,1859,All the Year Round,672,"mystery,classic,gothic",4.0,UK,True,None,Adult,True,1948
379,The Moonstone,Wilkie Collins,Detective,English,1868,All the Year Round,528,"mystery,detective,classic",3.9,UK,True,None,Adult,True,1934
380,Carmilla,Sheridan Le Fanu,Gothic Horror,English,1872,The Dark Blue,108,"vampire,gothic,classic",3.84,Ireland,True,None,Adult,True,2014
381,The Turn of the Screw,Henry James,Gothic Horror,English,1898,Collier's Weekly,121,"ghosts,psychology,classic",3.68,USA,True,None,Adult,True,1961
382,The Portrait of a Lady,Henry James,Realism,English,1881,Macmillan,656,"classic,freedom,betrayal",3.8,USA,True,None,Adult,True,1996
383,The Age of Innocence,Edith Wharton,Romance,English,1920,Appleton,293,"classic,new york,society",3.96,USA,True,Pulitzer Prize,Adult,True,1993
384,The House of Mirth,Edith Wharton,Tragedy,English,1905,Scribner,351,"classic,society,tragedy",3.94,USA,True,None,Adult,True,2000
385,The Awakening,Kate Chopin,Feminist Fiction,English,1899,H.S. Stone,195,"feminism,classic,classic",3.67,USA,True,None,Adult,False,1998
386,The Yellow Wallpaper,Charlotte Perkins Gilman,Gothic,English,1892,New England Magazine,64,"feminism,horror,mental health",4.11,USA,True,None,Adult,True,1989
387,Little House on the Prairie,Laura Ingalls Wilder,Historical Fiction,English,1935,Harper & Brothers,335,"history,family,pioneer",4.19,USA,True,None,Children,True,1974
388,"Sarah, Plain and Tall",Patricia MacLachlan,Historical Fiction,English,1985,Harper & Row,64,"family,history,love",3.76,USA,True,Newbery Medal,Children,True,1991
389,"Roll of Thunder, Hear My Cry",Mildred D. Taylor,Historical Fiction,English,1976,Dial,276,"racism,history,family",4.15,USA,True,Newbery Medal,Children,True,1978
390,Number the Stars,Lois Lowry,Historical Fiction,English,1989,Houghton Mifflin,137,"war,holocaust,courage",4.16,Denmark,True,Newbery Medal,Children,False,1998
391,Tuck Everlasting,Natalie Babbitt,Fantasy,English,1975,"Farrar, Straus and Giroux",148,"immortality,life,classic",3.87,USA,True,None,Children,True,2002
392,The Westing Game,Ellen Raskin,Mystery,English,1978,Dutton,182,"mystery,puzzle,humor",4.29,USA,True,Newbery Medal,Children,True,1997
393,Island of the Blue Dolphins,Scott O'Dell,Adventure,English,1960,Houghton Mifflin,184,"survival,nature,classic",3.84,USA,True,Newbery Medal,Children,True,1964
394,Deception Point,Dan Brown,Thriller,English,2001,Simon & Schuster,592,"thriller,politics,conspiracy",3.7,US,False,None,Adult,True,2008
397,Song of Solomon,Toni Morrison,Fiction,English,1977,Knopf,337,"race,family,classic",4.06,USA,True,NBCC Award,Adult,False,1998
398,The Bluest Eye,Toni Morrison,Fiction,English,1970,"Holt, Rinehart and Winston",206,"race,beauty,tragedy",4.06,USA,True,None,Adult,False,1998
399,Their Eyes Were Watching God,Zora Neale Hurston,Fiction,English,1937,J.B. Lippincott,231,"feminism,classic,race",4.1,USA,True,None,Adult,True,2005
400,Invisible Man,Ralph Ellison,Fiction,English,1952,Random House,581,"race,classic,identity",4.2,USA,True,National Book Award,Adult,False,1998
401,The Divine Comedy,Dante Alighieri,Epic Poetry,Italian,1320,Unknown,798,"classic,religion,poetry,hell",4.07,Italy,True,None,Adult,False,1998
402,Faust,Johann Wolfgang von Goethe,Play,German,1808,Cotta,503,"classic,drama,philosophy",3.98,Germany,True,None,Adult,True,1926
403,Paradise Lost,John Milton,Epic Poetry,English,1667,Samuel Simmons,453,"poetry,religion,classic,satan",3.85,UK,True,None,Adult,False,1998
404,The Canterbury Tales,Geoffrey Chaucer,Classic,English,1400,Unknown,504,"classic,humor,history,poetry",3.5,UK,True,None,Adult,True,1972
405,Beowulf,Unknown,Epic Poetry,Old English,975,Unknown,213,"mythology,hero,classic",3.45,UK,True,None,Adult,True,2007
408,Mistborn: The Final Empire,Brandon Sanderson,Fantasy,English,2006,Tor Books,541,"magic,heist,epic",4.46,USA,True,None,Young Adult,False,1998
409,The Way of Kings,Brandon Sanderson,Fantasy,English,2010,Tor Books,1007,"epic,magic,war",4.65,USA,True,David Gemmell Legend Award,Adult,False,1998
410,Red Rising,Pierce Brown,Sci-Fi,English,2014,Del Rey,382,"dystopia,mars,revolution",4.25,USA,True,Goodreads Choice Award,Adult,False,1998
411,Leviathan Wakes,James S.A. Corey,Sci-Fi,English,2011,Orbit,561,"space,mystery,opera",4.26,USA,True,Hugo Nominee,Adult,True,2015
412,Old Man's War,John Scalzi,Sci-Fi,English,2005,Tor Books,320,"war,space,humor",4.23,USA,True,Hugo Nominee,Adult,False,1998
413,Star Wars: Heir to the Empire,Timothy Zahn,Sci-Fi,English,1991,Bantam Spectra,416,"star wars,space,action",4.14,USA,True,None,Adult,False,1998
414,The Green Mile,Stephen King,Magical Realism,English,1996,Signet,436,"prison,supernatural,drama",4.46,USA,True,Bram Stoker Award,Adult,True,1999
415,Different Seasons,Stephen King,Horror,English,1982,Viking Press,560,"drama,horror,classic",4.37,USA,True,None,Adult,True,1994
416,The Ocean at the End of the Lane,Neil Gaiman,Fantasy,English,2013,William Morrow,181,"magic,memory,childhood",4.0,UK,True,British Book Award,Adult,False,1998
417,Murder on the Orient Express,Agatha Christie,Mystery,English,1934,Collins Crime Club,274,"crime,train,classic",4.18,UK,True,None,Adult,True,1974
418,The Mysterious Affair at Styles,Agatha Christie,Mystery,English,1920,John Lane,160,"crime,detective,classic",3.98,UK,True,None,Adult,True,1990
419,Dark Places,Gillian Flynn,Thriller,English,2009,Shaye Areheart,349,"mystery,dark,crime",3.94,USA,True,None,Adult,True,2015
420,Before I Go to Sleep,S.J. Watson,Thriller,English,2011,Doubleday,359,"amnesia,mystery,suspense",3.88,UK,True,None,Adult,True,2014
421,The Girl Who Played with Fire,Stieg Larsson,Crime,English,2006,Norstedts,503,"hacker,sweden,mystery",4.24,Sweden,True,None,Adult,True,2009
422,Outlander,Diana Gabaldon,Historical Romance,English,1991,Delacorte,850,"scotland,time travel,romance",4.23,USA,True,RITA Award,Adult,True,2014
423,Dragonfly in Amber,Diana Gabaldon,Historical Romance,English,1992,Delacorte,743,"history,romance,france",4.33,USA,True,None,Adult,True,2016
424,A Discovery of Witches,Deborah Harkness,Fantasy,English,2011,Viking,579,"magic,romance,history",3.99,USA,True,None,Adult,True,2018
425,The Time Traveler's Wife,Audrey Niffenegger,Romance,English,2003,MacAdam/Cage,518,"time travel,love,drama",3.98,USA,True,British Book Award,Adult,True,2009
426,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,Historical Fiction,English,1987,Random House,416,"south,friendship,food",4.3,USA,True,None,Adult,True,1991
427,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,Fiction,English,1996,HarperCollins,356,"south,mother-daughter,humor",3.85,USA,True,None,Adult,True,2002
428,Cold Mountain,Charles Frazier,Historical Fiction,English,1997,Atlantic Monthly,449,"civil war,journey,romance",3.85,USA,True,National Book Award,Adult,True,2003
429,Lonesome Dove,Larry McMurtry,Western,English,1985,Simon & Schuster,858,"western,epic,adventure",4.5,USA,True,Pulitzer Prize,Adult,True,1989
430,True Grit,Charles Portis,Western,English,1968,Simon & Schuster,215,"western,revenge,classic",4.14,USA,True,None,Adult,True,1969
431,Catching Fire,Suzanne Collins,Dystopian,English,2009,Scholastic,391,"revolution,survival,action",4.29,USA,True,None,Young Adult,True,2013
432,Mockingjay,Suzanne Collins,Dystopian,English,2010,Scholastic,390,"war,politics,tragedy",4.06,USA,True,None,Young Adult,True,2014
433,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy,English,1998,Bloomsbury,251,"magic,mystery,school",4.43,UK,True,None,Children,True,2002
434,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Fantasy,English,1999,Bloomsbury,317,"magic,time travel,mystery",4.57,UK,True,Whitbread Book Award,Children,True,2004
435,Fantastic Beasts and Where to Find Them,J.K. Rowling,Fantasy,English,2001,Bloomsbury,128,"magic,animals,textbook",3.98,UK,True,None,Children,True,2016
436,The Tales of Beedle the Bard,J.K. Rowling,Fantasy,English,2008,Bloomsbury,109,"magic,fairytale,classic",4.06,UK,True,None,Children,False,1998
437,China Rich Girlfriend,Kevin Kwan,Satire,English,2015,Doubleday,381,"wealth,asia,fashion",3.92,Singapore,True,None,Adult,False,1998
438,The Midnight Library,Matt Haig,Fantasy,English,2020,Viking,288,"philosophy,choices,depression",4.02,UK,True,Goodreads Choice Award,Adult,False,1998
439,Anxious People,Fredrik Backman,Fiction,English,2019,Månpocket,341,"humor,sweden,mystery",4.18,Sweden,True,None,Adult,True,2021
440,A Gentleman in Moscow,Amor Towles,Historical Fiction,English,2016,Viking,462,"russia,history,charm",4.33,USA,True,None,Adult,True,2024
441,Rules of Civility,Amor Towles,Historical Fiction,English,2011,Viking,335,"new york,romance,class",4.04,USA,True,None,Adult,False,1998
442,All the King's Men,Robert Penn Warren,Political Fiction,English,1946,Harcourt,439,"politics,corruption,classic",4.1,USA,True,Pulitzer Prize,Adult,True,1949
443,Wolf Hall,Hilary Mantel,Historical Fiction,English,2009,Fourth Estate,604,"history,politics,tudors",3.88,UK,True,Booker Prize,Adult,True,2015
444,Bring Up the Bodies,Hilary Mantel,Historical Fiction,English,2012,Fourth Estate,411,"history,politics,tudors",3.95,UK,True,Booker Prize,Adult,True,2015
445,The Other Boleyn Girl,Philippa Gregory,Historical Fiction,English,2001,Simon & Schuster,661,"history,romance,tudors",4.06,UK,True,Romantic Novel of the Year,Adult,True,2008
446,Girl with a Pearl Earring,Tracy Chevalier,Historical Fiction,English,1999,HarperCollins,233,"art,history,romance",3.88,UK,True,None,Adult,True,2003
447,Snow Flower and the Secret Fan,Lisa See,Historical Fiction,English,2005,Random House,258,"china,friendship,history",4.07,USA,True,None,Adult,True,2011
448,The Red Tent,Anita Diamant,Historical Fiction,English,1997,St. Martin's Press,321,"religion,women,history",4.18,USA,True,None,Adult,True,2014
449,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,Historical Fiction,English,2008,The Dial Press,290,"war,letters,romance",4.17,USA,True,None,Adult,True,2018
450,To All the Boys I've Loved Before,Jenny Han,Romance,English,2014,Simon & Schuster,355,"teen,romance,school",4.15,USA,True,None,Young Adult,True,2018
451,The Diary of a Young Girl,Anne Frank,Memoir,English,1947,Contact Publishing,283,"war,history,memoir",4.19,Netherlands,True,None,Young Adult,True,1959
452,The Notebook,Nicholas Sparks,Romance,English,1996,Warner Books,214,"love,tragedy,classic",4.1,USA,True,None,Adult,True,2004
453,A Walk to Remember,Nicholas Sparks,Romance,English,1999,Warner Books,240,"love,sad,faith",4.18,USA,True,None,Young Adult,True,2002
454,Dear John,Nicholas Sparks,Romance,English,2006,Warner Books,276,"love,military,letters",4.04,USA,True,None,Adult,True,2010
455,P.S. I Love You,Cecelia Ahern,Romance,English,2004,Hyperion,496,"love,grief,humor",4.16,Ireland,True,None,Adult,True,2007
456,"Love, Rosie",Cecelia Ahern,Romance,English,2004,Hyperion,512,"love,friends,letters",4.2,Ireland,True,None,Adult,True,2014
457,One Day,David Nicholls,Romance,English,2009,Hodder & Stoughton,435,"love,time,friendship",3.8,UK,True,Galaxy National Book Award,Adult,True,2011
458,Me Talk Pretty One Day,David Sedaris,Humor,English,2000,"Little, Brown",272,"humor,memoir,essays",4.0,USA,True,Thurber Prize,Adult,False,1998
461,Wonder,R.J. Palacio,Children's Fiction,English,2012,Knopf,315,"kindness,school,family",4.43,USA,True,None,Children,True,2017
462,The Curious Incident of the Dog in the Night-Time,Mark Haddon,Mystery,English,2003,Jonathan Cape,226,"mystery,autism,unique",3.89,UK,True,Whitbread Book of the Year,Young Adult,True,2012
463,Extremely Loud & Incredibly Close,Jonathan Safran Foer,Fiction,English,2005,Houghton Mifflin,326,"grief,9/11,family",3.98,USA,True,None,Adult,True,2011
464,Everything Is Illuminated,Jonathan Safran Foer,Fiction,English,2002,Houghton Mifflin,276,"history,ukraine,humor",3.92,USA,True,Guardian First Book Award,Adult,True,2005
465,The Corrections,Jonathan Franzen,Fiction,English,2001,"Farrar, Straus & Giroux",568,"family,drama,satire",3.81,USA,True,National Book Award,Adult,True,2025
466,Freedom,Jonathan Franzen,Fiction,English,2010,"Farrar, Straus & Giroux",562,"politics,family,environment",3.77,USA,True,None,Adult,False,1998
467,A Visit from the Goon Squad,Jennifer Egan,Fiction,English,2010,Knopf,340,"music,time,postmodern",3.67,USA,True,Pulitzer Prize,Adult,False,1998
468,The Amazing Adventures of Kavalier & Clay,Michael Chabon,Historical Fiction,English,2000,Random House,639,"comics,history,war",4.19,USA,True,Pulitzer Prize,Adult,False,1998
469,White Noise,Don DeLillo,Satire,English,1985,Viking,310,"consumerism,death,satire",3.85,USA,True,National Book Award,Adult,True,2022
470,Underworld,Don DeLillo,Historical Fiction,English,1997,Scribner,827,"history,cold war,baseball",3.93,USA,True,None,Adult,False,1998
471,The Crying of Lot 49,Thomas Pynchon,Satire,English,1966,Lippincott,152,"conspiracy,postmodern,complex",3.69,USA,True,None,Adult,False,1998
472,Altered Carbon,Richard K. Morgan,Cyberpunk,English,2002,Gollancz,375,"scifi,noir,future",4.12,UK,True,Philip K. Dick Award,Adult,True,2018
473,The Forever War,Joe Haldeman,Sci-Fi,English,1974,St. Martin's Press,278,"war,time,classic",4.15,USA,True,"Hugo,Nebula",Adult,False,1998
474,Redshirts,John Scalzi,Sci-Fi,English,2012,Tor Books,320,"humor,meta,star trek",3.85,USA,True,Hugo Award,Adult,False,1998
475,Annihilation,Jeff VanderMeer,Sci-Fi,English,2014,FSG Originals,195,"horror,nature,mystery",3.73,USA,True,Nebula Award,Adult,True,2018
476,Stories of Your Life and Others,Ted Chiang,Sci-Fi,English,2002,Tor,281,"aliens,language,philosophy",4.26,USA,True,Nebula Award,Adult,True,2016
477,Exhalation,Ted Chiang,Sci-Fi,English,2019,Knopf,352,"ai,time travel,philosophy",4.29,USA,True,Locus Award,Adult,False,1998
478,Neverwhere,Neil Gaiman,Fantasy,English,1996,BBC Books,370,"magic,london,adventure",4.17,UK,True,None,Adult,True,1996
479,Anansi Boys,Neil Gaiman,Fantasy,English,2005,William Morrow,336,"mythology,humor,magic",4.03,UK,True,None,Adult,True,2023
480,Small Gods,Terry Pratchett,Fantasy,English,1992,Gollancz,400,"religion,satire,discworld",4.29,UK,True,None,Adult,False,1998
481,Mort,Terry Pratchett,Fantasy,English,1987,Gollancz,243,"death,humor,discworld",4.23,UK,True,None,Adult,False,1998
482,Guards! Guards!,Terry Pratchett,Fantasy,English,1989,Gollancz,376,"dragons,police,humor",4.35,UK,True,None,Adult,False,1998
483,Going Postal,Terry Pratchett,Fantasy,English,2004,Doubleday,394,"humor,satire,discworld",4.39,UK,True,Nebula Nominee,Adult,True,2010
484,The Restaurant at the End of the Universe,Douglas Adams,Sci-Fi,English,1980,Pan Books,250,"humor,space,satire",4.21,UK,True,None,Adult,True,1981
485,"The Long Way to a Small, Angry Planet",Becky Chambers,Sci-Fi,English,2014,Self-published,404,"space,lgbt,friendship",4.16,USA,True,None,Adult,False,1998
486,Gideon the Ninth,Tamsyn Muir,Sci-Fi,English,2019,Tor.com,448,"necromancy,mystery,scifi",4.17,New Zealand,True,Locus Award,Adult,False,1998
487,The Fifth Season,N.K. Jemisin,Fantasy,English,2015,Orbit,468,"magic,earth,dystopia",4.29,USA,True,Hugo Award,Adult,False,1998
488,The Obelisk Gate,N.K. Jemisin,Fantasy,English,2016,Orbit,410,"magic,earth,sequel",4.32,USA,True,Hugo Award,Adult,False,1998
489,The Stone Sky,N.K. Jemisin,Fantasy,English,2017,Orbit,464,"magic,earth,finale",4.38,USA,True,"Hugo,Nebula",Adult,False,1998
490,Children of Time,Adrian Tchaikovsky,Sci-Fi,English,2015,Tor,600,"evolution,space,spiders",4.27,UK,True,Arthur C. Clarke Award,Adult,False,1998
491,Recursion,Blake Crouch,Sci-Fi,English,2019,Crown,329,"memory,thriller,time",4.16,USA,True,Goodreads Choice Award,Adult,False,1998
492,Wool,Hugh Howey,Dystopian,English,2011,Broad Reach,509,"post-apocalyptic,mystery,silo",4.22,USA,True,None,Adult,True,2023
493,Shift,Hugh Howey,Dystopian,English,2013,Broad Reach,579,"prequel,silo,scifi",4.07,USA,True,None,Adult,False,1998
494,Dust,Hugh Howey,Dystopian,English,2013,Broad Reach,458,"finale,silo,scifi",4.13,USA,True,None,Adult,False,1998
495,Hidden Figures,Margot Lee Shetterly,Non-fiction,English,2016,William Morrow,368,"history,space,race",4.26,USA,True,None,Adult,True,2016
496,Killers of the Flower Moon,David Grann,History,English,2017,Doubleday,359,"crime,history,native american",4.1,USA,True,Edgar Award,Adult,True,2023
497,Devil in the White City,Erik Larson,History,English,2003,Crown,447,"crime,history,architecture",3.99,USA,True,Edgar Award,Adult,True,2024
498,The Boys in the Boat,Daniel James Brown,History,English,2013,Viking,404,"sports,history,olympics",4.34,USA,True,None,Adult,True,2023
499,Shoe Dog,Phil Knight,Memoir,English,2016,Scribner,400,"business,memoir,sports",4.47,USA,True,None,Adult,False,1998
500,Kitchen Confidential,Anthony Bourdain,Memoir,English,2000,Bloomsbury,312,"food,chef,memoir",4.08,USA,True,None,Adult,False,1998
501,Six of Crows,Leigh Bardugo,Fantasy,English,2015,Henry Holt,465,"magic,heist,young adult",4.49,USA,True,None,Young Adult,False,1998
502,Shadow and Bone,Leigh Bardugo,Fantasy,English,2012,Henry Holt,358,"magic,russia,romance",3.9,USA,True,None,Young Adult,True,2021
503,The Cruel Prince,Holly Black,Fantasy,English,2018,"Little, Brown",370,"fae,politics,enemies to lovers",4.06,USA,True,Goodreads Choice Nominee,Young Adult,False,1998
504,Cinder,Marissa Meyer,Sci-Fi,English,2012,Feiwel & Friends,390,"retelling,cyborg,cinderella",4.15,USA,True,None,Young Adult,False,1998
505,The Invisible Life of Addie LaRue,V.E. Schwab,Fantasy,English,2020,Tor Books,444,"magic,history,romance",4.19,USA,True,Locus Nominee,Adult,False,1998
506,A Darker Shade of Magic,V.E. Schwab,Fantasy,English,2015,Tor Books,400,"magic,london,adventure",4.05,USA,True,None,Adult,False,1998
507,The Haunting of Hill House,Shirley Jackson,Horror,English,1959,Viking,182,"ghosts,psychology,classic",3.83,USA,True,National Book Award Nominee,Adult,True,1963
508,We Have Always Lived in the Castle,Shirley Jackson,Gothic,English,1962,Viking,146,"mystery,classic,dark",3.99,USA,True,None,Adult,True,2018
509,Bird Box,Josh Malerman,Horror,English,2014,Ecco,262,"apocalypse,thriller,survival",4.01,USA,True,Bram Stoker Award Nominee,Adult,True,2018
510,World War Z,Max Brooks,Horror,English,2006,Crown,342,"zombies,war,politics",4.01,USA,True,None,Adult,True,2013
511,1Q84,Haruki Murakami,Magical Realism,Japanese,2009,Shinchosha,925,"japan,surreal,dystopia",3.92,Japan,True,Goodreads Choice Nominee,Adult,False,1998
512,The Wind-Up Bird Chronicle,Haruki Murakami,Magical Realism,Japanese,1994,Shinchosha,607,"japan,mystery,surreal",4.17,Japan,True,Yomiuri Prize,Adult,False,1998
513,Battle Royale,Koushun Takami,Thriller,Japanese,1999,Ohta,617,"dystopia,violence,japan",4.23,Japan,True,None,Adult,True,2000
514,The Vegetarian,Han Kang,Fiction,Korean,2007,Changbi,188,"korea,surreal,dark",3.63,South Korea,True,Man Booker International,Adult,True,2009
515,"Kim Jiyoung, Born 1982",Cho Nam-Joo,Fiction,Korean,2016,Minumsa,163,"feminism,korea,society",3.77,South Korea,True,None,Adult,True,2019
516,Before the Coffee Gets Cold,Toshikazu Kawaguchi,Magical Realism,Japanese,2015,Sunmark,213,"time travel,japan,heartwarming",3.67,Japan,True,None,Adult,True,2018
517,Convenience Store Woman,Sayaka Murata,Fiction,Japanese,2016,Bungeishunju,163,"japan,society,humor",3.73,Japan,True,Akutagawa Prize,Adult,False,1998
518,A Little Life,Hanya Yanagihara,Drama,English,2015,Doubleday,720,"trauma,friendship,sad",4.31,USA,True,Booker Prize Shortlist,Adult,False,1998
519,My Year of Rest and Relaxation,Ottessa Moshfegh,Satire,English,2018,Penguin,289,"depression,satire,new york",3.67,USA,True,None,Adult,False,1998
520,The Phantom of the Opera,Gaston Leroux,Gothic,French,1910,Pierre Lafitte,192,"classic,romance,horror",3.96,France,True,None,Adult,True,2004
521,The Plague,Albert Camus,Philosophy,French,1947,Gallimard,308,"existentialism,disease,classic",3.99,France,True,None,Adult,True,1992
522,All Quiet on the Western Front,Erich Maria Remarque,War,German,1929,Propyläen,296,"war,classic,tragedy",3.96,Germany,True,None,Adult,True,1930
523,A Fine Balance,Rohinton Mistry,Historical Fiction,English,1995,McClelland and Stewart,603,"india,history,tragedy",4.37,Canada,True,Giller Prize,Adult,False,1998
524,The Namesake,Jhumpa Lahiri,Fiction,English,2003,Houghton Mifflin,291,"identity,family,immigration",3.98,USA,True,None,Adult,True,2006
525,And the Mountains Echoed,Khaled Hosseini,Fiction,English,2013,Riverhead,404,"family,afghanistan,connection",4.04,USA,True,Goodreads Choice Award,Adult,False,1998
526,Reading Lolita in Tehran,Azar Nafisi,Memoir,English,2003,Random House,356,"memoir,books,iran",3.77,Iran,True,None,Adult,False,1998
527,Mrs. Dalloway,Virginia Woolf,Modernist,English,1925,Hogarth Press,194,"classic,stream of consciousness,london",3.8,UK,True,None,Adult,True,1997
528,To the Lighthouse,Virginia Woolf,Modernist,English,1927,Hogarth Press,209,"classic,time,family",3.78,UK,True,None,Adult,True,1983
529,A Room of One's Own,Virginia Woolf,Feminist Non-fiction,English,1929,Hogarth Press,112,"feminism,classic,essays",4.16,UK,True,None,Adult,False,1998
530,On the Road,Jack Kerouac,Beat,English,1957,Viking Press,307,"travel,beat generation,classic",3.62,USA,True,None,Adult,True,2012
531,Giovanni's Room,James Baldwin,Fiction,English,1956,Dial Press,169,"lgbt,classic,paris",4.32,USA,True,None,Adult,False,1998
532,Call Me by Your Name,André Aciman,Romance,English,2007,"Farrar, Straus and Giroux",248,"lgbt,romance,italy",4.13,USA,True,Lambda Literary Award,Adult,True,2017
533,Less,Andrew Sean Greer,Satire,English,2017,Lee Boudreaux,261,"humor,travel,lgbt",3.76,USA,True,Pulitzer Prize,Adult,False,1998
534,The Sympathizer,Viet Thanh Nguyen,Historical Fiction,English,2015,Grove Press,371,"war,spy,vietnam",3.97,USA,True,Pulitzer Prize,Adult,True,2024
535,The Overstory,Richard Powers,Fiction,English,2018,W. W. Norton,502,"nature,trees,epic",4.13,USA,True,Pulitzer Prize,Adult,False,1998
536,Trust,Hernan Diaz,Historical Fiction,English,2022,Riverhead,402,"money,history,mystery",3.91,USA,True,Pulitzer Prize,Adult,False,1998
537,Demon Copperhead,Barbara Kingsolver,Fiction,English,2022,Harper,546,"poverty,addiction,coming-of-age",4.53,USA,True,Pulitzer Prize,Adult,False,1998
538,The Poisonwood Bible,Barbara Kingsolver,Historical Fiction,English,1998,HarperFlamingo,546,"africa,religion,family",4.07,USA,True,Book Sense Book of the Year,Adult,False,1998
539,Cloud Cuckoo Land,Anthony Doerr,Sci-Fi,English,2021,Scribner,626,"books,history,time",4.29,USA,True,None,Adult,False,1998
540,Hamnet,Maggie O'Farrell,Historical Fiction,English,2020,Tinder Press,372,"history,grief,family",4.22,UK,True,Women's Prize for Fiction,Adult,False,1998
541,Lincoln in the Bardo,George Saunders,Historical Fiction,English,2017,Random House,343,"ghosts,history,experimental",3.73,USA,True,Booker Prize,Adult,False,1998
542,The Underground Railroad,Colson Whitehead,Historical Fiction,English,2016,Doubleday,306,"history,slavery,surreal",4.03,USA,True,"Pulitzer Prize,National Book Award",Adult,True,2021
543,The Nickel Boys,Colson Whitehead,Historical Fiction,English,2019,Doubleday,213,"history,racism,tragedy",4.07,USA,True,Pulitzer Prize,Adult,False,1998
544,Gilead,Marilynne Robinson,Fiction,English,2004,"Farrar, Straus and Giroux",247,"religion,family,classic",3.85,USA,True,Pulitzer Prize,Adult,False,1998
545,Olive Kitteridge,Elizabeth Strout,Fiction,English,2008,Random House,270,"drama,short stories,maine",3.81,USA,True,Pulitzer Prize,Adult,True,2014
546,The Husband's Secret,Liane Moriarty,Mystery,English,2013,Pan Macmillan,396,"secrets,mystery,australia",3.94,Australia,True,None,Adult,False,1998
547,The Guest List,Lucy Foley,Thriller,English,2020,William Morrow,313,"mystery,island,crime",3.83,UK,True,Goodreads Choice Award,Adult,False,1998
548,In the Woods,Tana French,Mystery,English,2007,Viking,429,"crime,ireland,detective",3.77,Ireland,True,Edgar Award,Adult,True,2019
549,The Thirteenth Tale,Diane Setterfield,Gothic,English,2006,Orion,406,"mystery,gothic,books",4.05,UK,True,None,Adult,True,2013
550,My Cousin Rachel,Daphne du Maurier,Mystery,English,1951,Gollancz,352,"mystery,romance,classic",3.94,UK,True,None,Adult,True,2017
551,The Firm,John Grisham,Thriller,English,1991,Doubleday,421,"legal,thriller,crime",3.95,USA,True,None,Adult,True,1993
552,A Time to Kill,John Grisham,Thriller,English,1989,Wynwood Press,515,"legal,crime,south",4.06,USA,True,None,Adult,True,1996
553,The Pelican Brief,John Grisham,Thriller,English,1992,Doubleday,371,"legal,conspiracy,suspense",3.92,USA,True,None,Adult,True,1993
554,Killing Floor,Lee Child,Thriller,English,1997,Putnam,524,"action,mystery,crime",4.06,USA,True,Anthony Award,Adult,True,2022
555,Red Dragon,Thomas Harris,Thriller,English,1981,Putnam,348,"horror,crime,psychology",4.24,USA,True,None,Adult,True,2002
556,Hannibal,Thomas Harris,Thriller,English,1999,Delacorte,484,"horror,crime,cannibalism",3.73,USA,True,None,Adult,True,2001
557,The Talented Mr. Ripley,Patricia Highsmith,Thriller,English,1955,Coward-McCann,288,"crime,psychology,italy",3.96,USA,True,Edgar Award Nominee,Adult,True,1999
558,Strangers on a Train,Patricia Highsmith,Thriller,English,1950,Harper & Brothers,256,"crime,noir,suspense",3.94,USA,True,None,Adult,True,1951
559,The Postman Always Rings Twice,James M. Cain,Crime,English,1934,Knopf,116,"noir,crime,classic",3.9,USA,True,None,Adult,True,1981
560,Double Indemnity,James M. Cain,Crime,English,1943,Knopf,115,"noir,crime,classic",4.11,USA,True,None,Adult,True,1944
561,L.A. Confidential,James Ellroy,Crime,English,1990,Mysterious Press,496,"noir,police,corruption",4.28,USA,True,None,Adult,True,1997
562,The Black Dahlia,James Ellroy,Crime,English,1987,Mysterious Press,348,"noir,history,murder",3.92,USA,True,None,Adult,True,2006
563,The Exorcist,William Peter Blatty,Horror,English,1971,Harper & Row,385,"horror,demon,classic",4.18,USA,True,None,Adult,True,1973
564,Rosemary's Baby,Ira Levin,Horror,English,1967,Random House,308,"horror,cult,nyc",4.09,USA,True,None,Adult,True,1968
565,The Stepford Wives,Ira Levin,Satire,English,1972,Random House,144,"horror,satire,feminism",3.77,USA,True,None,Adult,True,2004
566,Psycho,Robert Bloch,Horror,English,1959,Simon & Schuster,176,"horror,thriller,classic",4.15,USA,True,None,Adult,True,1960
567,Jaws,Peter Benchley,Thriller,English,1974,Doubleday,320,"horror,shark,summer",3.96,USA,True,None,Adult,True,1975
568,Assassin's Apprentice,Robin Hobb,Fantasy,English,1995,Bantam Spectra,435,"magic,epic,growing up",4.16,USA,True,None,Adult,False,1998
